step 0, training accuracy 0.0333333 and testing accuracy 0.0473062 , best accuracy is 0.0473062 
step 100, training accuracy 0.333333 and testing accuracy 0.211564 , best accuracy is 0.211564 
step 200, training accuracy 0.4 and testing accuracy 0.204993 , best accuracy is 0.211564 
step 300, training accuracy 0.233333 and testing accuracy 0.180026 , best accuracy is 0.211564 
step 400, training accuracy 0.1 and testing accuracy 0.130092 , best accuracy is 0.211564 
step 500, training accuracy 0.133333 and testing accuracy 0.0972405 , best accuracy is 0.211564 
step 600, training accuracy 0.2 and testing accuracy 0.122208 , best accuracy is 0.211564 
step 700, training accuracy 0.0333333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 800, training accuracy 0.0333333 and testing accuracy 0.0840999 , best accuracy is 0.211564 
step 900, training accuracy 0.133333 and testing accuracy 0.0972405 , best accuracy is 0.211564 
step 1000, training accuracy 0.1 and testing accuracy 0.0893561 , best accuracy is 0.211564 
step 1100, training accuracy 0.133333 and testing accuracy 0.0840999 , best accuracy is 0.211564 
step 1200, training accuracy 0 and testing accuracy 0.0946124 , best accuracy is 0.211564 
step 1300, training accuracy 0.166667 and testing accuracy 0.0946124 , best accuracy is 0.211564 
step 1400, training accuracy 0.1 and testing accuracy 0.0893561 , best accuracy is 0.211564 
step 1500, training accuracy 0.0666667 and testing accuracy 0.0932983 , best accuracy is 0.211564 
step 1600, training accuracy 0.133333 and testing accuracy 0.105125 , best accuracy is 0.211564 
step 1700, training accuracy 0.133333 and testing accuracy 0.105125 , best accuracy is 0.211564 
step 1800, training accuracy 0.1 and testing accuracy 0.105125 , best accuracy is 0.211564 
step 1900, training accuracy 0.0666667 and testing accuracy 0.105125 , best accuracy is 0.211564 
step 2000, training accuracy 0.0333333 and testing accuracy 0.105125 , best accuracy is 0.211564 
step 2100, training accuracy 0.166667 and testing accuracy 0.105125 , best accuracy is 0.211564 
step 2200, training accuracy 0.233333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 2300, training accuracy 0.2 and testing accuracy 0.105125 , best accuracy is 0.211564 
step 2400, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 2500, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 2600, training accuracy 0.1 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 2700, training accuracy 0.166667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 2800, training accuracy 0.0333333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 2900, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3000, training accuracy 0.1 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3100, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3200, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3300, training accuracy 0.0333333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3400, training accuracy 0.0333333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3500, training accuracy 0.1 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3600, training accuracy 0.1 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3700, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3800, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 3900, training accuracy 0.2 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4000, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4100, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4200, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4300, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4400, training accuracy 0.1 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4500, training accuracy 0.233333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4600, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4700, training accuracy 0.166667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4800, training accuracy 0.2 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 4900, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5000, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5100, training accuracy 0.0333333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5200, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5300, training accuracy 0.133333 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5400, training accuracy 0.2 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5500, training accuracy 0.0666667 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5600, training accuracy 0.1 and testing accuracy 0.103811 , best accuracy is 0.211564 
step 5700, training accuracy 0.1 and testing accuracy 0.103811 , best accuracy is 0.211564 
