step 0, training accuracy 0.0666667 and testing accuracy 0.0542328 , best accuracy is 0.0542328 
step 100, training accuracy 0.1 and testing accuracy 0.103175 , best accuracy is 0.103175 
step 200, training accuracy 0.266667 and testing accuracy 0.194444 , best accuracy is 0.194444 
step 300, training accuracy 0.333333 and testing accuracy 0.23545 , best accuracy is 0.23545 
step 400, training accuracy 0.233333 and testing accuracy 0.26455 , best accuracy is 0.26455 
step 500, training accuracy 0.333333 and testing accuracy 0.310847 , best accuracy is 0.310847 
step 600, training accuracy 0.4 and testing accuracy 0.314815 , best accuracy is 0.314815 
step 700, training accuracy 0.466667 and testing accuracy 0.337302 , best accuracy is 0.337302 
step 800, training accuracy 0.666667 and testing accuracy 0.350529 , best accuracy is 0.350529 
step 900, training accuracy 0.533333 and testing accuracy 0.37963 , best accuracy is 0.37963 
step 1000, training accuracy 0.533333 and testing accuracy 0.365079 , best accuracy is 0.37963 
step 1100, training accuracy 0.4 and testing accuracy 0.386243 , best accuracy is 0.386243 
step 1200, training accuracy 0.566667 and testing accuracy 0.415344 , best accuracy is 0.415344 
step 1300, training accuracy 0.633333 and testing accuracy 0.400794 , best accuracy is 0.415344 
step 1400, training accuracy 0.533333 and testing accuracy 0.400794 , best accuracy is 0.415344 
step 1500, training accuracy 0.733333 and testing accuracy 0.407407 , best accuracy is 0.415344 
step 1600, training accuracy 0.666667 and testing accuracy 0.431217 , best accuracy is 0.431217 
step 1700, training accuracy 0.833333 and testing accuracy 0.420635 , best accuracy is 0.431217 
step 1800, training accuracy 0.633333 and testing accuracy 0.42328 , best accuracy is 0.431217 
step 1900, training accuracy 0.666667 and testing accuracy 0.424603 , best accuracy is 0.431217 
step 2000, training accuracy 0.8 and testing accuracy 0.429894 , best accuracy is 0.431217 
step 2100, training accuracy 0.8 and testing accuracy 0.428571 , best accuracy is 0.431217 
step 2200, training accuracy 0.7 and testing accuracy 0.437831 , best accuracy is 0.437831 
step 2300, training accuracy 0.733333 and testing accuracy 0.431217 , best accuracy is 0.437831 
step 2400, training accuracy 0.7 and testing accuracy 0.421958 , best accuracy is 0.437831 
step 2500, training accuracy 0.866667 and testing accuracy 0.444444 , best accuracy is 0.444444 
step 2600, training accuracy 0.833333 and testing accuracy 0.412698 , best accuracy is 0.444444 
step 2700, training accuracy 0.833333 and testing accuracy 0.443122 , best accuracy is 0.444444 
step 2800, training accuracy 0.866667 and testing accuracy 0.427249 , best accuracy is 0.444444 
step 2900, training accuracy 0.866667 and testing accuracy 0.435185 , best accuracy is 0.444444 
step 3000, training accuracy 0.833333 and testing accuracy 0.453704 , best accuracy is 0.453704 
step 3100, training accuracy 0.766667 and testing accuracy 0.435185 , best accuracy is 0.453704 
step 3200, training accuracy 0.9 and testing accuracy 0.449735 , best accuracy is 0.453704 
step 3300, training accuracy 0.8 and testing accuracy 0.452381 , best accuracy is 0.453704 
step 3400, training accuracy 0.866667 and testing accuracy 0.452381 , best accuracy is 0.453704 
step 3500, training accuracy 0.966667 and testing accuracy 0.44709 , best accuracy is 0.453704 
step 3600, training accuracy 0.9 and testing accuracy 0.451058 , best accuracy is 0.453704 
step 3700, training accuracy 0.966667 and testing accuracy 0.451058 , best accuracy is 0.453704 
step 3800, training accuracy 0.8 and testing accuracy 0.441799 , best accuracy is 0.453704 
step 3900, training accuracy 0.833333 and testing accuracy 0.440476 , best accuracy is 0.453704 
step 4000, training accuracy 0.8 and testing accuracy 0.439153 , best accuracy is 0.453704 
step 4100, training accuracy 0.866667 and testing accuracy 0.458995 , best accuracy is 0.458995 
step 4200, training accuracy 0.966667 and testing accuracy 0.470899 , best accuracy is 0.470899 
step 4300, training accuracy 0.933333 and testing accuracy 0.445767 , best accuracy is 0.470899 
step 4400, training accuracy 0.933333 and testing accuracy 0.464286 , best accuracy is 0.470899 
step 4500, training accuracy 0.966667 and testing accuracy 0.46164 , best accuracy is 0.470899 
step 4600, training accuracy 0.866667 and testing accuracy 0.470899 , best accuracy is 0.470899 
step 4700, training accuracy 0.933333 and testing accuracy 0.472222 , best accuracy is 0.472222 
step 4800, training accuracy 0.9 and testing accuracy 0.462963 , best accuracy is 0.472222 
step 4900, training accuracy 0.966667 and testing accuracy 0.452381 , best accuracy is 0.472222 
step 5000, training accuracy 1 and testing accuracy 0.464286 , best accuracy is 0.472222 
step 5100, training accuracy 0.9 and testing accuracy 0.453704 , best accuracy is 0.472222 
step 5200, training accuracy 0.966667 and testing accuracy 0.462963 , best accuracy is 0.472222 
step 5300, training accuracy 0.966667 and testing accuracy 0.456349 , best accuracy is 0.472222 
step 5400, training accuracy 1 and testing accuracy 0.465608 , best accuracy is 0.472222 
step 5500, training accuracy 0.9 and testing accuracy 0.465608 , best accuracy is 0.472222 
step 5600, training accuracy 1 and testing accuracy 0.458995 , best accuracy is 0.472222 
step 5700, training accuracy 0.933333 and testing accuracy 0.464286 , best accuracy is 0.472222 
step 5800, training accuracy 1 and testing accuracy 0.457672 , best accuracy is 0.472222 
step 5900, training accuracy 0.933333 and testing accuracy 0.468254 , best accuracy is 0.472222 
step 6000, training accuracy 0.966667 and testing accuracy 0.478836 , best accuracy is 0.478836 
step 6100, training accuracy 0.9 and testing accuracy 0.462963 , best accuracy is 0.478836 
step 6200, training accuracy 0.933333 and testing accuracy 0.477513 , best accuracy is 0.478836 
step 6300, training accuracy 1 and testing accuracy 0.473545 , best accuracy is 0.478836 
step 6400, training accuracy 0.933333 and testing accuracy 0.481481 , best accuracy is 0.481481 
step 6500, training accuracy 1 and testing accuracy 0.482804 , best accuracy is 0.482804 
step 6600, training accuracy 1 and testing accuracy 0.484127 , best accuracy is 0.484127 
step 6700, training accuracy 0.9 and testing accuracy 0.468254 , best accuracy is 0.484127 
step 6800, training accuracy 0.933333 and testing accuracy 0.464286 , best accuracy is 0.484127 
step 6900, training accuracy 0.9 and testing accuracy 0.473545 , best accuracy is 0.484127 
step 7000, training accuracy 0.933333 and testing accuracy 0.47619 , best accuracy is 0.484127 
step 7100, training accuracy 0.966667 and testing accuracy 0.492063 , best accuracy is 0.492063 
step 7200, training accuracy 0.933333 and testing accuracy 0.496032 , best accuracy is 0.496032 
step 7300, training accuracy 1 and testing accuracy 0.478836 , best accuracy is 0.496032 
step 7400, training accuracy 1 and testing accuracy 0.478836 , best accuracy is 0.496032 
step 7500, training accuracy 1 and testing accuracy 0.465608 , best accuracy is 0.496032 
step 7600, training accuracy 0.966667 and testing accuracy 0.465608 , best accuracy is 0.496032 
step 7700, training accuracy 0.933333 and testing accuracy 0.472222 , best accuracy is 0.496032 
step 7800, training accuracy 1 and testing accuracy 0.468254 , best accuracy is 0.496032 
step 7900, training accuracy 0.9 and testing accuracy 0.474868 , best accuracy is 0.496032 
step 8000, training accuracy 0.933333 and testing accuracy 0.466931 , best accuracy is 0.496032 
step 8100, training accuracy 0.933333 and testing accuracy 0.477513 , best accuracy is 0.496032 
step 8200, training accuracy 1 and testing accuracy 0.490741 , best accuracy is 0.496032 
step 8300, training accuracy 1 and testing accuracy 0.482804 , best accuracy is 0.496032 
step 8400, training accuracy 0.966667 and testing accuracy 0.474868 , best accuracy is 0.496032 
step 8500, training accuracy 0.966667 and testing accuracy 0.489418 , best accuracy is 0.496032 
step 8600, training accuracy 0.966667 and testing accuracy 0.486772 , best accuracy is 0.496032 
step 8700, training accuracy 1 and testing accuracy 0.493386 , best accuracy is 0.496032 
step 8800, training accuracy 0.966667 and testing accuracy 0.494709 , best accuracy is 0.496032 
step 8900, training accuracy 0.966667 and testing accuracy 0.498677 , best accuracy is 0.498677 
step 9000, training accuracy 0.966667 and testing accuracy 0.492063 , best accuracy is 0.498677 
step 9100, training accuracy 0.966667 and testing accuracy 0.489418 , best accuracy is 0.498677 
step 9200, training accuracy 1 and testing accuracy 0.494709 , best accuracy is 0.498677 
step 9300, training accuracy 0.966667 and testing accuracy 0.496032 , best accuracy is 0.498677 
step 9400, training accuracy 0.966667 and testing accuracy 0.489418 , best accuracy is 0.498677 
step 9500, training accuracy 1 and testing accuracy 0.488095 , best accuracy is 0.498677 
step 9600, training accuracy 1 and testing accuracy 0.501323 , best accuracy is 0.501323 
step 9700, training accuracy 0.966667 and testing accuracy 0.488095 , best accuracy is 0.501323 
step 9800, training accuracy 1 and testing accuracy 0.486772 , best accuracy is 0.501323 
step 9900, training accuracy 0.966667 and testing accuracy 0.48545 , best accuracy is 0.501323 
step 10000, training accuracy 1 and testing accuracy 0.480159 , best accuracy is 0.501323 
step 10100, training accuracy 1 and testing accuracy 0.505291 , best accuracy is 0.505291 
step 10200, training accuracy 1 and testing accuracy 0.518519 , best accuracy is 0.518519 
step 10300, training accuracy 0.966667 and testing accuracy 0.509259 , best accuracy is 0.518519 
step 10400, training accuracy 1 and testing accuracy 0.501323 , best accuracy is 0.518519 
step 10500, training accuracy 0.966667 and testing accuracy 0.506614 , best accuracy is 0.518519 
step 10600, training accuracy 0.966667 and testing accuracy 0.48545 , best accuracy is 0.518519 
step 10700, training accuracy 1 and testing accuracy 0.48545 , best accuracy is 0.518519 
step 10800, training accuracy 1 and testing accuracy 0.48545 , best accuracy is 0.518519 
step 10900, training accuracy 1 and testing accuracy 0.488095 , best accuracy is 0.518519 
step 11000, training accuracy 1 and testing accuracy 0.498677 , best accuracy is 0.518519 
step 11100, training accuracy 1 and testing accuracy 0.502645 , best accuracy is 0.518519 
step 11200, training accuracy 1 and testing accuracy 0.503968 , best accuracy is 0.518519 
step 11300, training accuracy 1 and testing accuracy 0.498677 , best accuracy is 0.518519 
step 11400, training accuracy 1 and testing accuracy 0.507937 , best accuracy is 0.518519 
step 11500, training accuracy 1 and testing accuracy 0.490741 , best accuracy is 0.518519 
step 11600, training accuracy 1 and testing accuracy 0.503968 , best accuracy is 0.518519 
step 11700, training accuracy 1 and testing accuracy 0.5 , best accuracy is 0.518519 
step 11800, training accuracy 1 and testing accuracy 0.498677 , best accuracy is 0.518519 
step 11900, training accuracy 1 and testing accuracy 0.497355 , best accuracy is 0.518519 
step 12000, training accuracy 1 and testing accuracy 0.490741 , best accuracy is 0.518519 
step 12100, training accuracy 1 and testing accuracy 0.482804 , best accuracy is 0.518519 
step 12200, training accuracy 1 and testing accuracy 0.501323 , best accuracy is 0.518519 
step 12300, training accuracy 1 and testing accuracy 0.497355 , best accuracy is 0.518519 
step 12400, training accuracy 1 and testing accuracy 0.473545 , best accuracy is 0.518519 
step 12500, training accuracy 1 and testing accuracy 0.488095 , best accuracy is 0.518519 
step 12600, training accuracy 1 and testing accuracy 0.484127 , best accuracy is 0.518519 
step 12700, training accuracy 1 and testing accuracy 0.494709 , best accuracy is 0.518519 
step 12800, training accuracy 1 and testing accuracy 0.502645 , best accuracy is 0.518519 
step 12900, training accuracy 1 and testing accuracy 0.518519 , best accuracy is 0.518519 
step 13000, training accuracy 1 and testing accuracy 0.5 , best accuracy is 0.518519 
step 13100, training accuracy 0.966667 and testing accuracy 0.509259 , best accuracy is 0.518519 
