step 0, training accuracy 0.433333 and testing accuracy 0.190265 , best accuracy is 0.190265 
step 100, training accuracy 0.833333 and testing accuracy 0.49115 , best accuracy is 0.49115 
step 200, training accuracy 0.933333 and testing accuracy 0.5 , best accuracy is 0.5 
step 300, training accuracy 1 and testing accuracy 0.557522 , best accuracy is 0.557522 
step 400, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 500, training accuracy 1 and testing accuracy 0.535398 , best accuracy is 0.557522 
step 600, training accuracy 1 and testing accuracy 0.530973 , best accuracy is 0.557522 
step 700, training accuracy 1 and testing accuracy 0.548673 , best accuracy is 0.557522 
step 800, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 900, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1000, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1100, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1200, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1300, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1400, training accuracy 0.966667 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1500, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1600, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1700, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1800, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 1900, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2000, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2100, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2200, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2300, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2400, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2500, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2600, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2700, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2800, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 2900, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3000, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3100, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3200, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3300, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3400, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3500, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3600, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3700, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3800, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 3900, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4000, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4100, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4200, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4300, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4400, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4500, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4600, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4700, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
step 4800, training accuracy 1 and testing accuracy 0.553097 , best accuracy is 0.557522 
