step 0, training accuracy 0.0333333 and testing accuracy 0.0630749 , best accuracy is 0.0630749 
step 100, training accuracy 0.5 and testing accuracy 0.30092 , best accuracy is 0.30092 
step 200, training accuracy 0.666667 and testing accuracy 0.350854 , best accuracy is 0.350854 
step 300, training accuracy 0.5 and testing accuracy 0.379763 , best accuracy is 0.379763 
step 400, training accuracy 0.833333 and testing accuracy 0.406045 , best accuracy is 0.406045 
step 500, training accuracy 0.733333 and testing accuracy 0.467806 , best accuracy is 0.467806 
step 600, training accuracy 0.833333 and testing accuracy 0.466491 , best accuracy is 0.467806 
step 700, training accuracy 0.833333 and testing accuracy 0.462549 , best accuracy is 0.467806 
step 800, training accuracy 0.9 and testing accuracy 0.461235 , best accuracy is 0.467806 
step 900, training accuracy 0.933333 and testing accuracy 0.478318 , best accuracy is 0.478318 
step 1000, training accuracy 0.866667 and testing accuracy 0.480946 , best accuracy is 0.480946 
step 1100, training accuracy 0.833333 and testing accuracy 0.478318 , best accuracy is 0.480946 
step 1200, training accuracy 0.966667 and testing accuracy 0.490145 , best accuracy is 0.490145 
step 1300, training accuracy 0.966667 and testing accuracy 0.487516 , best accuracy is 0.490145 
step 1400, training accuracy 0.933333 and testing accuracy 0.483574 , best accuracy is 0.490145 
step 1500, training accuracy 0.9 and testing accuracy 0.492773 , best accuracy is 0.492773 
step 1600, training accuracy 0.9 and testing accuracy 0.494087 , best accuracy is 0.494087 
step 1700, training accuracy 0.966667 and testing accuracy 0.484888 , best accuracy is 0.494087 
step 1800, training accuracy 0.966667 and testing accuracy 0.48883 , best accuracy is 0.494087 
step 1900, training accuracy 1 and testing accuracy 0.499343 , best accuracy is 0.499343 
step 2000, training accuracy 0.966667 and testing accuracy 0.48883 , best accuracy is 0.499343 
step 2100, training accuracy 1 and testing accuracy 0.492773 , best accuracy is 0.499343 
step 2200, training accuracy 0.933333 and testing accuracy 0.478318 , best accuracy is 0.499343 
step 2300, training accuracy 0.933333 and testing accuracy 0.480946 , best accuracy is 0.499343 
step 2400, training accuracy 0.966667 and testing accuracy 0.484888 , best accuracy is 0.499343 
step 2500, training accuracy 1 and testing accuracy 0.498029 , best accuracy is 0.499343 
step 2600, training accuracy 0.933333 and testing accuracy 0.495401 , best accuracy is 0.499343 
step 2700, training accuracy 0.966667 and testing accuracy 0.494087 , best accuracy is 0.499343 
step 2800, training accuracy 1 and testing accuracy 0.48226 , best accuracy is 0.499343 
step 2900, training accuracy 1 and testing accuracy 0.507227 , best accuracy is 0.507227 
step 3000, training accuracy 1 and testing accuracy 0.501971 , best accuracy is 0.507227 
step 3100, training accuracy 1 and testing accuracy 0.504599 , best accuracy is 0.507227 
step 3200, training accuracy 0.966667 and testing accuracy 0.494087 , best accuracy is 0.507227 
step 3300, training accuracy 0.966667 and testing accuracy 0.495401 , best accuracy is 0.507227 
step 3400, training accuracy 0.966667 and testing accuracy 0.504599 , best accuracy is 0.507227 
step 3500, training accuracy 1 and testing accuracy 0.492773 , best accuracy is 0.507227 
step 3600, training accuracy 1 and testing accuracy 0.495401 , best accuracy is 0.507227 
step 3700, training accuracy 0.966667 and testing accuracy 0.501971 , best accuracy is 0.507227 
