Sun Apr  9 22:19:05 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 3
****************************************
step 0, training: 0.24, testing: 0.166667, anv: 0.0555556, best 0.0555556 
step 5, training: 0.16, testing: 0.166667, anv: 0.111111, best 0.111111 
step 10, training: 0.36, testing: 0.333333, anv: 0.222222, best 0.222222 
step 15, training: 0.16, testing: 0.166667, anv: 0.222222, best 0.222222 
step 20, training: 0.4, testing: 0.333333, anv: 0.277778, best 0.277778 
step 25, training: 0.36, testing: 0.166667, anv: 0.222222, best 0.277778 
step 30, training: 0.32, testing: 0.333333, anv: 0.277778, best 0.277778 
step 35, training: 0.56, testing: 0.5, anv: 0.333333, best 0.333333 
step 40, training: 0.68, testing: 0.666667, anv: 0.5, best 0.5 
step 45, training: 0.64, testing: 0.5, anv: 0.555556, best 0.555556 
step 50, training: 0.88, testing: 0.666667, anv: 0.611111, best 0.611111 
step 55, training: 0.8, testing: 0.666667, anv: 0.611111, best 0.611111 
step 60, training: 0.72, testing: 0.5, anv: 0.611111, best 0.611111 
step 65, training: 0.72, testing: 0.666667, anv: 0.611111, best 0.611111 
step 70, training: 0.64, testing: 0.666667, anv: 0.611111, best 0.611111 
step 75, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.666667 
step 80, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 85, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.666667 
step 90, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.666667 
step 95, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 100, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.666667 
step 105, training: 0.92, testing: 0.5, anv: 0.611111, best 0.666667 
step 110, training: 0.92, testing: 0.5, anv: 0.555556, best 0.666667 
step 115, training: 0.88, testing: 0.666667, anv: 0.555556, best 0.666667 
step 120, training: 0.84, testing: 0.666667, anv: 0.611111, best 0.666667 
step 125, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 130, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 135, training: 0.92, testing: 0.666667, anv: 0.666667, best 0.666667 
step 140, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 145, training: 1, testing: 0.666667, anv: 0.666667, best 0.666667 
step 150, training: 1, testing: 0.666667, anv: 0.666667, best 0.666667 
step 155, training: 0.92, testing: 0.666667, anv: 0.666667, best 0.666667 
step 160, training: 0.96, testing: 0.5, anv: 0.611111, best 0.666667 
step 165, training: 0.96, testing: 0.5, anv: 0.555556, best 0.666667 
step 170, training: 0.96, testing: 0.5, anv: 0.5, best 0.666667 
step 175, training: 1, testing: 0.666667, anv: 0.555556, best 0.666667 
step 180, training: 0.92, testing: 0.666667, anv: 0.611111, best 0.666667 
step 185, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 190, training: 0.92, testing: 0.666667, anv: 0.666667, best 0.666667 
step 195, training: 0.92, testing: 0.666667, anv: 0.666667, best 0.666667 
step 200, training: 1, testing: 0.666667, anv: 0.666667, best 0.666667 
step 205, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 210, training: 1, testing: 0.666667, anv: 0.666667, best 0.666667 
step 215, training: 1, testing: 0.666667, anv: 0.666667, best 0.666667 
step 220, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 225, training: 1, testing: 0.5, anv: 0.611111, best 0.666667 
step 230, training: 1, testing: 0.5, anv: 0.555556, best 0.666667 
step 235, training: 1, testing: 0.666667, anv: 0.555556, best 0.666667 
step 240, training: 1, testing: 0.666667, anv: 0.611111, best 0.666667 
step 245, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 250, training: 1, testing: 0.666667, anv: 0.666667, best 0.666667 
step 255, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
step 260, training: 1, testing: 0.666667, anv: 0.666667, best 0.666667 
step 265, training: 0.96, testing: 0.666667, anv: 0.666667, best 0.666667 
