****************************************
current sequence is 1
****************************************
step 1660, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1680, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1700, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1720, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1740, training: 0.4, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1760, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1780, training: 0, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1800, training: 0, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1820, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1840, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1860, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1880, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1900, training: 0.266667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1920, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1940, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1960, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 1980, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2000, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2020, training: 0.266667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2040, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2060, training: 0, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2080, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2100, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2120, training: 0.266667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2140, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2160, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2180, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2200, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2220, training: 0, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2240, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2260, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2280, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2300, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2320, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2340, training: 0, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2360, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2380, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2400, training: 0.266667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2420, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2440, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2460, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2480, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2500, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2520, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2540, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2560, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2580, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2600, training: 0.266667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2620, training: 0.266667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2640, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2660, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2680, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2700, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2720, training: 0.333333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2740, training: 0.333333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2760, training: 0.266667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2780, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2800, training: 0, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2820, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2840, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2860, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2880, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2900, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2920, training: 0, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2940, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2960, training: 0.0666667, testing: 0.166667, anv: 0.166667, best 0.166667 
step 2980, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 3000, training: 0.133333, testing: 0.166667, anv: 0.166667, best 0.166667 
step 3020, training: 0.333333, testing: 0.166667, anv: 0.166667, best 0.166667 
