Tue Apr  4 07:28:17 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
step 0, training: 0.133333, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 20, training: 0.0666667, testing: 0.166667, anv: 0.0333333, best 0.0333333 
step 40, training: 0, testing: 0.166667, anv: 0.05, best 0.05 
step 60, training: 0.133333, testing: 0.166667, anv: 0.0666667, best 0.0666667 
step 80, training: 0, testing: 0.166667, anv: 0.0833333, best 0.0833333 
step 100, training: 0.133333, testing: 0.166667, anv: 0.1, best 0.1 
step 120, training: 0.4, testing: 0, anv: 0.1, best 0.1 
step 140, training: 0.2, testing: 0, anv: 0.1, best 0.1 
step 160, training: 0.0666667, testing: 0, anv: 0.1, best 0.1 
step 180, training: 0, testing: 0, anv: 0.1, best 0.1 
step 200, training: 0.133333, testing: 0, anv: 0.0833333, best 0.1 
step 220, training: 0.0666667, testing: 0, anv: 0.0666667, best 0.1 
step 240, training: 0.133333, testing: 0, anv: 0.05, best 0.1 
step 260, training: 0.133333, testing: 0, anv: 0.0333333, best 0.1 
step 280, training: 0.333333, testing: 0, anv: 0.0166667, best 0.1 
step 300, training: 0.133333, testing: 0, anv: 0, best 0.1 
