step 0, training accuracy 0.0666667 and testing accuracy 0.0674603 , best accuracy is 0.0674603 
step 100, training accuracy 0.233333 and testing accuracy 0.149471 , best accuracy is 0.149471 
step 200, training accuracy 0.2 and testing accuracy 0.189153 , best accuracy is 0.189153 
step 300, training accuracy 0.3 and testing accuracy 0.206349 , best accuracy is 0.206349 
step 400, training accuracy 0.333333 and testing accuracy 0.248677 , best accuracy is 0.248677 
step 500, training accuracy 0.566667 and testing accuracy 0.287037 , best accuracy is 0.287037 
step 600, training accuracy 0.7 and testing accuracy 0.28836 , best accuracy is 0.28836 
step 700, training accuracy 0.433333 and testing accuracy 0.338624 , best accuracy is 0.338624 
step 800, training accuracy 0.666667 and testing accuracy 0.333333 , best accuracy is 0.338624 
step 900, training accuracy 0.6 and testing accuracy 0.369048 , best accuracy is 0.369048 
step 1000, training accuracy 0.5 and testing accuracy 0.391534 , best accuracy is 0.391534 
step 1100, training accuracy 0.6 and testing accuracy 0.398148 , best accuracy is 0.398148 
step 1200, training accuracy 0.666667 and testing accuracy 0.400794 , best accuracy is 0.400794 
step 1300, training accuracy 0.766667 and testing accuracy 0.400794 , best accuracy is 0.400794 
step 1400, training accuracy 0.6 and testing accuracy 0.399471 , best accuracy is 0.400794 
step 1500, training accuracy 0.7 and testing accuracy 0.411376 , best accuracy is 0.411376 
step 1600, training accuracy 0.666667 and testing accuracy 0.404762 , best accuracy is 0.411376 
step 1700, training accuracy 0.8 and testing accuracy 0.424603 , best accuracy is 0.424603 
step 1800, training accuracy 0.766667 and testing accuracy 0.402116 , best accuracy is 0.424603 
step 1900, training accuracy 0.8 and testing accuracy 0.415344 , best accuracy is 0.424603 
step 2000, training accuracy 0.766667 and testing accuracy 0.411376 , best accuracy is 0.424603 
step 2100, training accuracy 0.9 and testing accuracy 0.42328 , best accuracy is 0.424603 
step 2200, training accuracy 0.733333 and testing accuracy 0.427249 , best accuracy is 0.427249 
step 2300, training accuracy 0.9 and testing accuracy 0.448413 , best accuracy is 0.448413 
step 2400, training accuracy 0.766667 and testing accuracy 0.440476 , best accuracy is 0.448413 
step 2500, training accuracy 0.733333 and testing accuracy 0.468254 , best accuracy is 0.468254 
step 2600, training accuracy 0.933333 and testing accuracy 0.457672 , best accuracy is 0.468254 
step 2700, training accuracy 0.866667 and testing accuracy 0.44709 , best accuracy is 0.468254 
step 2800, training accuracy 0.833333 and testing accuracy 0.46164 , best accuracy is 0.468254 
step 2900, training accuracy 0.9 and testing accuracy 0.457672 , best accuracy is 0.468254 
step 3000, training accuracy 0.933333 and testing accuracy 0.448413 , best accuracy is 0.468254 
step 3100, training accuracy 0.8 and testing accuracy 0.464286 , best accuracy is 0.468254 
step 3200, training accuracy 0.833333 and testing accuracy 0.452381 , best accuracy is 0.468254 
step 3300, training accuracy 0.933333 and testing accuracy 0.46164 , best accuracy is 0.468254 
step 3400, training accuracy 0.933333 and testing accuracy 0.452381 , best accuracy is 0.468254 
step 3500, training accuracy 0.9 and testing accuracy 0.449735 , best accuracy is 0.468254 
step 3600, training accuracy 0.966667 and testing accuracy 0.453704 , best accuracy is 0.468254 
step 3700, training accuracy 0.933333 and testing accuracy 0.464286 , best accuracy is 0.468254 
step 3800, training accuracy 0.866667 and testing accuracy 0.462963 , best accuracy is 0.468254 
